UF;Cidade;PIB;População (2009);PIB percapita
MARANHÃO;Lima Campos;41257.61;11794;3498.19
SANTA CATARINA;Doutor Pedrinho;38462.61;3432;11207.06
PARÁ;Canaã dos Carajás;852967.19;27675;30820.86
RIO GRANDE DO SUL;Faxinal do Soturno;93779.37;6407;14637.02
MINAS GERAIS;Matias Cardoso;87891.29;11037;7963.33
MINAS GERAIS;Oliveira Fortes;14545.58;1951;7455.45
SÃO PAULO;Cordeirópolis;1366099.25;20720;65931.43
MATO GROSSO;Nova Bandeirantes;192547.83;14078;13677.21
RIO GRANDE DO SUL;Tucunduva;117462.91;5988;19616.38
PERNAMBUCO;Vertente do Lério;36315.22;7464;4865.38
SANTA CATARINA;Painel;29384.25;2357;12466.80
AMAZONAS;Benjamin Constant;116750.10;31195;3742.59
ESPIRITO SANTO;Aracruz;1975875.25;78658;25119.82
CEARÁ;Aurora;89467.84;25113;3562.61
PARAÍBA;Massaranduba;52693.07;12946;4070.22
CEARÁ;São Gonçalo do Amarante;659916.25;42962;15360.46
GOIÁS;Bom Jesus de Goiás;283610.66;21103;13439.35
PERNAMBUCO;Glória do Goitá;100163.07;28289;3540.71
SÃO PAULO;Águas de São Pedro;50880.55;2613;19472.08
SÃO PAULO;Monte Alegre do Sul;93054.95;7473;12452.15
MARANHÃO;Tasso Fragoso;252911.84;6890;36707.09
PARANÁ;Nova Olímpia;36311.60;5391;6735.60
PERNAMBUCO;Flores;78994.20;23034;3429.46
SANTA CATARINA;Arroio Trinta;47939.61;3638;13177.46
ESPIRITO SANTO;Laranja da Terra;69701.90;11136;6259.15
TOCANTINS;Cristalândia;60872.34;6628;9184.12
PIAUÍ;São Lourenço do Piauí;13126.83;5115;2566.34
MINAS GERAIS;Rio Piracicaba;118772.38;14846;8000.30
MINAS GERAIS;Uruana de Minas;29089.09;2747;10589.40
RIO GRANDE DO SUL;Cândido Godói;95233.16;6722;14167.38
SÃO PAULO;Votuporanga;1138017.00;81279;14001.37
MINAS GERAIS;Alfredo Vasconcelos;45348.82;6300;7198.23
TOCANTINS;Combinado;35322.88;5070;6967.04
MATO GROSSO DO SUL;Ribas do Rio Pardo;407836.16;20077;20313.60
PARÁ;Inhangapi;32318.25;10377;3114.41
MINAS GERAIS;Vargem Bonita;23029.76;2140;10761.57
RIO GRANDE DO SUL;Nova Pádua;49243.48;2598;18954.38
RIO GRANDE DO SUL;Igrejinha;690711.44;33551;20586.91
PARANÁ;Andirá;343282375.00;21964;15629.32
SANTA CATARINA;Ibirama;210702.83;17469;12061.53
MINAS GERAIS;Itaguara;111868.47;12956;8634.49
RIO GRANDE DO SUL;Dom Pedrito;680121875.00;38767;17543.84
RIO GRANDE DO NORTE;João Câmara;146441625.00;31518;4646.29
CEARÁ;Assaré;76518.98;22550;3393.30
RIO GRANDE DO SUL;Caçapava do Sul;407264375.00;33060;12318.95
SANTA CATARINA;Jaraguá do Sul;4697090.00;139017;33787.88
BAHIA;Barro Preto;27834.44;6417;4337.61
PIAUÍ;São Félix do Piauí;11539.94;3201;3605.11
ALAGOAS;Ibateguara;56599.32;15863;3568.01
MINAS GERAIS;Madre de Deus de Minas;53308.86;5173;10305.21
SANTA CATARINA;Guarujá do Sul;97872625.00;4870;20097.05
TOCANTINS;Ponte Alta do Bom Jesus;25679.45;4664;5505.89
PARAÍBA;Paulista;52906.16;12004;4407.38
CEARÁ;Jaguaribe;206077.08;36493;5647.03
MINAS GERAIS;Ibiraci;362894.22;11593;31302.87
MATO GROSSO DO SUL;Campo Grande;11645484.00;755107;15422.30
GOIÁS;Guaraíta;16679.58;2370;7037.80
SANTA CATARINA;Irineópolis;186795125.00;10748;17379.52
MINAS GERAIS;Santa Rita de Caldas;101948.30;9333;10923.42
SANTA CATARINA;Caibi;100527.76;6392;15727.12
TOCANTINS;Gurupi;934583625.00;74357;12568.87
RONDÔNIA;Vale do Paraíso;88993.17;8913;9984.65
GOIÁS;Santa Bárbara de Goiás;49571.89;6031;8219.51
PARANÁ;Arapoti;519706.75;26998;19249.82
MINAS GERAIS;Carrancas;40828.19;4182;9762.84
SÃO PAULO;Palmeira d'Oeste;108116.23;9706;11139.11
SANTA CATARINA;Gaspar;1179397125.00;55489;21254.61
RIO GRANDE DO NORTE;São Paulo do Potengi;87246.09;15017;5809.82
MINAS GERAIS;Belo Oriente;467006375.00;22555;20705.23
RIO GRANDE DO SUL;Novo Xingu;21380.43;1926;11100.95
PARAÍBA;São José de Caiana;22382.83;6141;3644.82
PARANÁ;Lidianópolis;32365.93;4083;7927.00
RIO GRANDE DO NORTE;Paraná;16883.23;4039;4180.05
RIO GRANDE DO NORTE;São Francisco do Oeste;19215.29;3807;5047.36
ALAGOAS;União dos Palmares;400757.66;62727;6388.92
MINAS GERAIS;Campanário;27105.78;3757;7214.74
MINAS GERAIS;Água Boa;86572.01;16643;5201.71
RIO GRANDE DO SUL;Vitória das Missões;44029.72;3676;11977.62
MINAS GERAIS;Coronel Pacheco;21314.23;2427;8782.13
MINAS GERAIS;Ibirité;1070732.00;157438;6800.98
MINAS GERAIS;Itamarati de Minas;37053.98;4232;8755.67
ACRE;Plácido de Castro;204410.56;18235;11209.79
MINAS GERAIS;Albertina;21112.74;2976;7094.33
MINAS GERAIS;Rio do Prado;26897.79;4412;6096.51
SANTA CATARINA;Taió;304213.69;17522;17361.81
PIAUÍ;Bocaina;15906.56;4146;3836.60
PERNAMBUCO;Camutanga;111614.59;8214;13588.34
MINAS GERAIS;Ibituruna;28054.52;2938;9548.85
ESPIRITO SANTO;Bom Jesus do Norte;65357.91;9672;6757.44
GOIÁS;Heitoraí;34522.12;3706;9315.20
GOIÁS;São Patrício;18451.35;2144;8606.04
RIO GRANDE DO SUL;Travesseiro;34130.49;2471;13812.42
SÃO PAULO;Pederneiras;624309.81;43245;14436.58
TOCANTINS;Axixá do Tocantins;47001.59;9203;5107.20
CEARÁ;Ipaporanga;34297.75;11768;2914.49
MATO GROSSO;São José dos Quatro Marcos;183400.92;19493;9408.55
SANTA CATARINA;São Bento do Sul;1501101.00;76514;19618.64
RIO GRANDE DO SUL;Rio Grande;6280858.00;196337;31990.19
PARAÍBA;Cuitegi;26236.60;7243;3622.34
RIO GRANDE DO NORTE;Acari;60654.47;11215;5408.33
SÃO PAULO;Cotia;5427421.50;182045;29813.63
SANTA CATARINA;Bom Jesus do Oeste;27839.13;2065;13481.42
MINAS GERAIS;Bom Sucesso;155607.11;17805;8739.52
RIO GRANDE DO NORTE;Angicos;58391.63;11525;5066.52
MINAS GERAIS;Capela Nova;24456.54;4661;5247.06
PARANÁ;Tunas do Paraná;43655.66;6753;6464.63
AMAZONAS;Tabatinga;202660.98;47948;4226.68
SANTA CATARINA;Pinheiro Preto;68567.00;3048;22495.74
RORAIMA;Bonfim;111137.02;10726;10361.46
BAHIA;Ipupiara;31431.71;9325;3370.69
MARANHÃO;Bom Lugar;57368.62;13384;4286.36
MINAS GERAIS;Abaeté;239440.55;23258;10294.98
PARANÁ;Santa Fé;103898.01;10354;10034.58
PARAÍBA;Itabaiana;118204.21;25463;4642.19
RIO GRANDE DO SUL;Quatro Irmãos;32741.55;1791;18281.15
MARANHÃO;Buriti Bravo;68815.20;23074;2982.37
PIAUÍ;Floriano;429720625.00;57968;7413.07
PARANÁ;Ivaí;102136.76;13533;7547.24
GOIÁS;Santo Antônio do Descoberto;233394.61;58474;3991.43
MINAS GERAIS;Mathias Lobato;19697.57;3526;5586.38
BAHIA;Itagi;52461.01;14162;3704.35
MARANHÃO;Cururupu;107963.34;35108;3075.18
RIO DE JANEIRO;Aperibé;81305.16;9556;8508.28
SÃO PAULO;Araras;2407399.25;114515;21022.57
GOIÁS;Buriti de Goiás;19388.32;2203;8800.87
PERNAMBUCO;Ibirajuba;38436.95;7833;4907.05
MARANHÃO;Barreirinhas;148248.08;50354;2944.12
MINAS GERAIS;Serranópolis de Minas;18955.78;4787;3959.85
MARANHÃO;Presidente Dutra;185824.77;41303;4499.06
SÃO PAULO;Taquarituba;253338.09;23060;10986.04
SÃO PAULO;Santa Cruz das Palmeiras;255420.55;33583;7605.65
SÃO PAULO;Nova Independência;210455.48;2742;76752.55
SANTA CATARINA;Concórdia;1650183625.00;70393;23442.44
SÃO PAULO;Tarumã;320347.22;13386;23931.51
PARANÁ;Apucarana;1511202.25;121290;12459.41
MINAS GERAIS;Rio Casca;108061.47;14790;7306.39
RIO GRANDE DO SUL;Sananduva;277202.41;15216;18217.82
PERNAMBUCO;Itacuruba;19219.96;4358;4410.27
MINAS GERAIS;Fortaleza de Minas;133684.86;3986;33538.60
RIO GRANDE DO SUL;São Pedro da Serra;28525.85;3311;8615.48
MINAS GERAIS;Josenópolis;19152.56;4636;4131.27
MINAS GERAIS;Sem-Peixe;16147.79;2993;5395.19
MATO GROSSO;Alto Paraguai;65186.02;8329;7826.39
CEARÁ;Groaíras;33190.70;9971;3328.72
SÃO PAULO;Gastão Vidigal;37278.70;4118;9052.62
RIO GRANDE DO SUL;Santa Cecília do Sul;28719.19;1776;16170.71
BAHIA;Mucugê;229213.17;14714;15577.90
SÃO PAULO;Mendonça;48696.29;4217;11547.61
RIO DE JANEIRO;Quissamã;1810872.25;19878;91099.32
SÃO PAULO;Pedro de Toledo;70778.90;10254;6902.56
PIAUÍ;Santa Luz;17753.98;5495;3230.93
MINAS GERAIS;Águas Vermelhas;89496.18;13301;6728.53
PERNAMBUCO;Lagoa do Carro;59924.18;15230;3934.61
BAHIA;Iraquara;105232.51;24415;4310.16
BAHIA;Jacaraci;49422.33;14837;3331.02
SÃO PAULO;Santa Albertina;56413.42;4992;11300.76
MINAS GERAIS;Itamogi;82634.86;11218;7366.27
MARANHÃO;São Francisco do Brejão;45696.53;8863;5155.88
PARANÁ;Irati;682697.94;56483;12086.79
GOIÁS;Porangatu;332653.25;40469;8219.95
PIAUÍ;Assunção do Piauí;23011.68;8370;2749.31
SERGIPE;General Maynard;13834.30;2907;4758.96
MINAS GERAIS;Tombos;55267.80;8881;6223.15
SANTA CATARINA;Herval D'Oeste;326972.25;19323;16921.40
SÃO PAULO;Adamantina;531913.50;34424;15451.82
MINAS GERAIS;Ipiaçu;51452.19;4374;11763.19
PARANÁ;Mallet;149617.28;12784;11703.48
SÃO PAULO;Platina;49894.52;3407;14644.71
AMAPÁ;Calçoene;107248.83;9291;11543.30
ESPIRITO SANTO;Montanha;197230.16;18856;10459.81
ALAGOAS;Ouro Branco;32711.80;11504;2843.52
SÃO PAULO;Iguape;252515.78;30675;8231.97
BAHIA;Itacaré;102075.27;27170;3756.91
RIO GRANDE DO SUL;Derrubadas;41730.38;3391;12306.22
CEARÁ;Mauriti;169606.56;44211;3836.30
ALAGOAS;Junqueiro;98153.77;25290;3881.13
RIO GRANDE DO NORTE;Parelhas;109494.69;20676;5295.74
PARANÁ;Perobal;67708.02;5163;13114.08
PARANÁ;Borrazópolis;93202.49;8235;11317.85
GOIÁS;Piracanjuba;362217.97;24033;15071.69
RIO GRANDE DO SUL;São Gabriel;798197.00;59337;13451.93
RIO GRANDE DO SUL;Picada Café;153711.95;5039;30504.46
MINAS GERAIS;Limeira do Oeste;130177.80;6792;19166.34
PARANÁ;Medianeira;637894.19;39857;16004.57
PERNAMBUCO;Serra Talhada;543937.50;80294;6774.32
SÃO PAULO;Colômbia;144238.20;6345;22732.58
PARANÁ;Doutor Camargo;60953.91;5753;10595.15
PARANÁ;Sertaneja;102978.79;5924;17383.32
SÃO PAULO;Redenção da Serra;36065.66;4245;8496.03
MINAS GERAIS;Ribeirão Vermelho;37746.42;3938;9585.17
RONDÔNIA;Nova União;69908.52;7944;8800.17
RIO GRANDE DO NORTE;Januário Cicco;39116.64;8629;4533.16
SÃO PAULO;Pompéia;465391.53;20168;23075.74
PARANÁ;Jardim Olinda;21127.86;1494;14141.80
PERNAMBUCO;Jataúba;59477.78;15365;3870.99
RIO GRANDE DO SUL;Bom Jesus;197372.39;12201;16176.74
BAHIA;Itororó;77047.16;20930;3681.18
ALAGOAS;São Brás;27549.03;7062;3901.02
PIAUÍ;Anísio de Abreu;25927.51;8552;3031.75
ALAGOAS;Traipu;68499.69;25854;2649.48
SÃO PAULO;Conchal;369008.06;24485;15070.78
PARANÁ;Roncador;148181.59;12309;12038.48
SÃO PAULO;Álvares Machado;199326.48;23779;8382.46
PARANÁ;Salto do Itararé;36764.26;5134;7160.94
MARANHÃO;Grajaú;277077.53;56633;4892.51
MINAS GERAIS;Setubinha;37165.38;11588;3207.23
RIO GRANDE DO SUL;Pinheirinho do Vale;49996.95;4635;10786.83
TOCANTINS;Araguatins;152885.48;26771;5710.86
MINAS GERAIS;Ponte Nova;687477875.00;57654;11924.20
TOCANTINS;Taguatinga;110298.09;14655;7526.31
PERNAMBUCO;Salgueiro;315104.03;55435;5684.21
SÃO PAULO;Santa Ernestina;43545.34;5618;7751.04
MARANHÃO;Magalhães de Almeida;59104.46;14808;3991.39
MINAS GERAIS;Itapagipe;234536.94;15043;15591.10
SÃO PAULO;Santo Antônio do Jardim;78237.46;5785;13524.19
BAHIA;Ourolândia;76238.53;17080;4463.61
SANTA CATARINA;Palhoça;1693864.25;130878;12942.31
SÃO PAULO;Macaubal;84924.54;7672;11069.41
GOIÁS;Caldazinha;33231.05;3341;9946.44
MINAS GERAIS;Itamonte;262661.75;14611;17976.99
BAHIA;Aracatu;43216.13;14316;3018.73
PERNAMBUCO;Pombos;106317.17;22120;4806.38
PERNAMBUCO;Tracunhaém;63237.59;13265;4767.25
PARAÍBA;Catolé do Rocha;146767.58;28468;5155.53
MATO GROSSO;Itanhangá;129650.54;5061;25617.57
MINAS GERAIS;São Pedro do Suaçuí;31461.02;5925;5309.88
SANTA CATARINA;Bocaina do Sul;48069.13;3128;15367.37
PERNAMBUCO;João Alfredo;121253.92;29875;4058.71
BAHIA;Vitória da Conquista;3142676.75;318901;9854.71
PERNAMBUCO;Chã Grande;92091.63;17924;5137.90
RONDÔNIA;Buritis;326336875.00;34693;9406.42
PARAÍBA;Solânea;108521.99;27951;3882.58
MINAS GERAIS;Amparo do Serra;25285.10;5362;4715.61
PARÁ;Rondon do Pará;244986.22;47772;5128.24
SÃO PAULO;Vargem Grande do Sul;435658.78;39160;11125.10
SÃO PAULO;Marapoama;81859.96;2780;29446.03
BAHIA;Condeúba;64649.53;17210;3756.51
BAHIA;Jacobina;523242.19;79013;6622.23
RIO GRANDE DO SUL;Piratini;191053.52;21180;9020.47
RIO GRANDE DO SUL;Crissiumal;168315.06;15096;11149.65
MINAS GERAIS;Senhora dos Remédios;48332.01;10588;4564.79
GOIÁS;Leopoldo de Bulhões;90110.17;9518;9467.34
RIO GRANDE DO NORTE;Parnamirim;1963383.50;184222;10657.70
MINAS GERAIS;Medeiros;51101.86;3398;15038.81
PARANÁ;Brasilândia do Sul;49819625.00;3260;15282.09
PARANÁ;Marialva;430093.06;31397;13698.54
BAHIA;Mascote;57532.87;16590;3467.92
SÃO PAULO;Taubaté;8324691.00;273426;30445.86
SÃO PAULO;Motuca;68719.68;4691;14649.26
SÃO PAULO;São Sebastião;3043796.25;73631;41338.51
PARÁ;Soure;81680.95;22459;3636.89
CEARÁ;Morrinhos;68998.66;22695;3040.26
RIO GRANDE DO SUL;Roque Gonzales;86025.93;7394;11634.56
ALAGOAS;Campestre;25780.66;6178;4172.98
PARANÁ;Enéas Marques;81526875.00;6066;13439.97
PARÁ;Gurupá;79299.14;25511;3108.43
PIAUÍ;Dom Expedito Lopes;31609.29;6793;4653.21
RIO GRANDE DO NORTE;Passagem;13935.79;2703;5155.67
SERGIPE;Aracaju;7069448.00;544039;12994.38
SÃO PAULO;Orlândia;787616.25;37534;20984.08
MARANHÃO;Junco do Maranhão;28271.05;3950;7157.23
MATO GROSSO;Juruena;91460.10;9595;9532.06
BAHIA;Cardeal da silva;48083.14;8618;5579.39
MARANHÃO;Pinheiro;316422.09;77182;4099.69
BAHIA;Jaguaquara;246394.69;48206;5111.29
SÃO PAULO;Iracemápolis;520704.31;19700;26431.69
RIO GRANDE DO SUL;Selbach;96666.89;4912;19679.74
PARANÁ;Santa Izabel do Oeste;122608.91;11747;10437.47
SANTA CATARINA;Princesa;33004.68;2687;12283.10
CEARÁ;Pentecoste;149833.02;35166;4260.74
BAHIA;Gandu;173949.27;31819;5466.84
SÃO PAULO;Cajati;472912.31;28936;16343.39
GOIÁS;Goiatuba;708512.56;32304;21932.66
RIO GRANDE DO NORTE;Ipueira;13287.05;2115;6282.29
MARANHÃO;Luís Domingues;28483.07;6997;4070.75
MINAS GERAIS;Guaraciama;23972.32;4728;5070.29
SÃO PAULO;Salmourão;53295.08;4779;11151.93
SÃO PAULO;Santo Antônio do Pinhal;56594.78;6896;8206.90
SANTA CATARINA;Leoberto Leal;57065.51;3674;15532.26
BAHIA;Itaguaçu da Bahia;49661.09;13269;3742.64
RIO DE JANEIRO;Duas Barras;145481.41;10891;13357.95
SÃO PAULO;Queluz;78831.70;11197;7040.43
RIO GRANDE DO SUL;Glorinha;188674.73;7531;25053.08
SERGIPE;Pinhão;31870.48;5809;5486.40
PERNAMBUCO;São Lourenço da Mata;430601.31;99945;4308.38
BAHIA;Cândido Sales;93716.92;27180;3448.01
AMAZONAS;Codajás;84273.59;16291;5173.02
MINAS GERAIS;Poço Fundo;125487.59;15916;7884.37
MINAS GERAIS;Timóteo;1693002375.00;79813;21212.11
PIAUÍ;Francisco Macedo;9199.64;2315;3973.93
SANTA CATARINA;Indaial;1083196.50;50917;21273.77
BAHIA;Cícero Dantas;119276.58;31832;3747.07
MINAS GERAIS;Alto Rio Doce;65097.46;12778;5094.49
MINAS GERAIS;Materlândia;23538.47;4772;4932.62
PERNAMBUCO;Sanharó;82603.20;18723;4411.86
SÃO PAULO;Tapiratiba;161548.06;12410;13017.57
MARANHÃO;Santa Quitéria do Maranhão;92080375.00;29551;3115.98
MINAS GERAIS;Ouro Preto;2492686.75;69495;35868.58
CEARÁ;Parambu;103936.86;32231;3224.75
PARANÁ;Abatiá;55714.39;7928;7027.55
SÃO PAULO;Orindiúva;94819.84;5406;17539.74
BAHIA;Barra do Mendes;49816.65;14459;3445.37
RIO GRANDE DO SUL;Capão Bonito do Sul;48154.84;1877;25655.21
SÃO PAULO;Vera Cruz;95465.48;9952;9592.59
RIO GRANDE DO SUL;Pareci Novo;52567.12;3232;16264.58
RIO GRANDE DO NORTE;Severiano Melo;26589.73;5224;5089.92
ALAGOAS;Jacaré dos Homens;30879.78;5902;5232.09
BAHIA;Jequié;1552451.50;150541;10312.48
SÃO PAULO;Pilar do Sul;293537.84;28455;10315.86
CEARÁ;Catunda;37783.76;11198;3374.15
PARANÁ;Rio Azul;150128.48;13760;10910.50
CEARÁ;Varjota;76601.12;17802;4302.95
RIO DE JANEIRO;Macaé;7057281.50;194413;36300.46
GOIÁS;Rubiataba;160824.36;18618;8638.11
PERNAMBUCO;Carnaubeira da Penha;44609.31;12451;3582.79
MINAS GERAIS;Santana do Garambéu;13781.93;2205;6250.31
RIO DE JANEIRO;Porto Real;3502626.50;16253;215506.45
CEARÁ;Tauá;242443.72;56639;4280.51
MINAS GERAIS;Resende Costa;66597.84;10941;6087.00
MINAS GERAIS;Aimorés;251976.84;24825;10150.12
GOIÁS;Ouro Verde de Goiás;36711.70;4599;7982.54
PARAÍBA;Santa Helena;24999.93;6198;4033.55
SÃO PAULO;Turiúba;39628.16;2040;19425.57
MATO GROSSO;Diamantino;908566.25;18989;47846.98
SÃO PAULO;Ribeirão Pires;1631338625.00;112011;14564.09
TOCANTINS;Lavandeira;12126.01;1683;7205.00
RIO GRANDE DO SUL;Muçum;79309.03;4685;16928.29
MATO GROSSO;Apiacás;148853.84;8381;17760.87
TOCANTINS;Abreulândia;17476.70;2321;7529.82
PERNAMBUCO;Belém de Maria;37656.35;9703;3880.90
MINAS GERAIS;Campo Florido;245850.36;7105;34602.44
SÃO PAULO;Guapiaçu;389872.97;17938;21734.47
PARAÍBA;Caaporã;286072875.00;20064;14258.02
SÃO PAULO;Bananal;88336.43;10822;8162.67
SÃO PAULO;Morungaba;232642.84;13305;17485.37
PARAÍBA;Araçagi;100224.01;17839;5618.25
MARANHÃO;São João do Carú;39601.42;12511;3165.33
MINAS GERAIS;Camacho;44854.86;3229;13891.26
MINAS GERAIS;Olímpio Noronha;22509.80;2655;8478.27
RIO GRANDE DO SUL;Chiapetta;76856.48;4094;18772.95
GOIÁS;São Miguel do Passa Quatro;51348.88;3856;13316.62
PERNAMBUCO;Ipojuca;7082403.00;75512;93791.75
CEARÁ;Uruburetama;105931.97;20627;5135.60
RIO GRANDE DO SUL;Chuvisca;69552.21;5159;13481.72
MARANHÃO;Conceição do Lago-Açu;48036.52;14909;3221.98
MINAS GERAIS;Ipuiúna;110897.61;9549;11613.53
BAHIA;Aporá;55787.80;18738;2977.26
MARANHÃO;Gonçalves Dias;50201.11;16911;2968.55
SÃO PAULO;Alfredo Marcondes;38104.74;4055;9396.98
PARÁ;Anajás;62534.56;27386;2283.45
MINAS GERAIS;Divisa Alegre;42667.09;6235;6843.16
BAHIA;Guaratinga;102757.34;22960;4475.49
SÃO PAULO;Serra Azul;73476.26;10121;7259.78
PARAÍBA;Cajazeirinhas;14881.46;3168;4697.43
PIAUÍ;Socorro do Piauí;13982.05;4733;2954.16
MATO GROSSO;Nova Marilândia;38595.01;2345;16458.43
SÃO PAULO;Palestina;137605.55;11354;12119.57
PARAÍBA;São José dos Ramos;23567.55;5702;4133.21
CEARÁ;Ererê;24669.07;7332;3364.58
BAHIA;Maracás;125397.14;35990;3484.22
MINAS GERAIS;Montezuma;29338.85;7677;3821.66
RIO GRANDE DO NORTE;Monte das Gameleiras;11909.32;2449;4862.93
PARÁ;Ourém;49183.37;15841;3104.81
SÃO PAULO;Nantes;86357.62;2662;32440.88
SÃO PAULO;Campos do Jordão;546444.56;46505;11750.23
SANTA CATARINA;Paraíso;46444.15;4200;11058.13
MINAS GERAIS;São João da Ponte;109678.15;26983;4064.71
PIAUÍ;José de Freitas;153536.33;36485;4208.20
PERNAMBUCO;Pesqueira;290683.66;64454;4509.94
GOIÁS;Água Limpa;24790.09;2111;11743.29
GOIÁS;Cromínia;36729.20;3729;9849.61
AMAZONAS;Tonantins;67153.01;20286;3310.31
RIO GRANDE DO NORTE;Canguaretama;144216.41;30541;4722.06
SANTA CATARINA;Biguaçu;1205661.00;56395;21378.86
BAHIA;Lafaiete Coutinho;17013.39;3502;4858.19
MINAS GERAIS;José Raydan;24955.75;4412;5656.34
MINAS GERAIS;Maripá de Minas;19717.75;2981;6614.47
RORAIMA;Alto Alegre;141954.31;14205;9993.26
PIAUÍ;Cajazeiras do Piauí;10104.81;3323;3040.87
SANTA CATARINA;Tubarão;1591460375.00;96529;16486.86
SÃO PAULO;União Paulista;35924.91;1522;23603.75
RIO GRANDE DO SUL;Canela;370663.56;41115;9015.29
MINAS GERAIS;Divisa Nova;44721.08;5828;7673.49
PARANÁ;Paraíso do Norte;102151.60;11939;8556.13
MINAS GERAIS;Oliveira;342731.84;39214;8740.04
BAHIA;Taperoá;80988.61;19388;4177.25
SÃO PAULO;Ipuã;204742.14;15883;12890.65
PARANÁ;Cândido de Abreu;182986.69;18100;10109.76
GOIÁS;Cristalina;901832.50;38504;23421.79
RIO GRANDE DO NORTE;Macaíba;708533.81;66380;10673.91
BAHIA;Santa Luzia;51422.97;15613;3293.60
PARANÁ;São Miguel do Iguaçu;452659625.00;26451;17113.14
RIO GRANDE DO NORTE;Major Sales;15742.35;3631;4335.54
MINAS GERAIS;Estiva;97946.81;11426;8572.28
MINAS GERAIS;Bandeira do Sul;31064.00;5330;5828.14
SÃO PAULO;Cosmorama;86788875.00;7033;12340.24
SERGIPE;Feira Nova;32150.50;5875;5472.43
SANTA CATARINA;Penha;252274.23;22263;11331.55
ACRE;Santa Rosa do Purus;28091.17;4358;6445.89
SÃO PAULO;Mirassolândia;34264.32;4396;7794.43
PIAUÍ;Currais;34505.07;4710;7325.92
TOCANTINS;Monte do Carmo;88327.66;6723;13138.13
GOIÁS;Palestina de Goiás;42713.82;3317;12877.24
MINAS GERAIS;Marmelópolis;19299.72;3156;6115.25
PARANÁ;Santo Antônio da Platina;426821.19;42002;10161.93
RIO GRANDE DO SUL;Fazenda Vilanova;148094.75;3248;45595.67
PERNAMBUCO;Ribeirão;211137.06;39317;5370.12
PARANÁ;Cambé;1529310625.00;97329;15712.80
CEARÁ;Uruoca;41727.48;13820;3019.35
SANTA CATARINA;Vargeão;61478.05;3685;16683.32
SÃO PAULO;São Miguel Arcanjo;371031375.00;31329;11843.07
ESPIRITO SANTO;Cachoeiro de Itapemirim;2399003.25;201259;11919.98
RIO GRANDE DO SUL;São Martinho;78099.75;5910;13214.85
GOIÁS;São Miguel do Araguaia;217922.73;23142;9416.76
MINAS GERAIS;Tarumirim;75479.17;14585;5175.12
SÃO PAULO;Bocaina;175754.64;11028;15937.13
PARANÁ;Uraí;108368.86;11774;9204.08
RIO GRANDE DO NORTE;Doutor Severiano;26936.34;6616;4071.39
MATO GROSSO DO SUL;Naviraí;693041.56;45627;15189.29
SÃO PAULO;Atibaia;2625614.75;126757;20713.77
MINAS GERAIS;Mamonas;25831.94;6485;3983.34
PIAUÍ;São Francisco do Piauí;20146.16;6461;3118.12
RIO GRANDE DO SUL;Vila Maria;109764.35;4299;25532.53
PIAUÍ;Francinópolis;17245.61;5458;3159.69
BAHIA;Conceição do Coité;292867.19;62893;4656.59
BAHIA;Biritinga;53547.69;14260;3755.10
ESPIRITO SANTO;Conceição da Barra;401526.25;27059;14838.92
BAHIA;Ibipeba;58437.68;17666;3307.92
GOIÁS;Joviânia;82713.74;6914;11963.23
PARAÍBA;Campina Grande;3894133.50;383764;10147.21
BAHIA;Anagé;74545.80;25262;2950.91
BAHIA;Irecê;415895.00;66061;6295.62
BAHIA;Medeiros Neto;148739.39;22752;6537.42
PIAUÍ;Ilha Grande;34292.41;8734;3926.31
SÃO PAULO;Boracéia;89564.66;4439;20176.77
BAHIA;Planalto;110698.26;22151;4997.44
GOIÁS;Ipiranga de Goiás;26288.52;2906;9046.29
MINAS GERAIS;Baldim;67873.52;8582;7908.82
SÃO PAULO;Praia Grande;2780735.25;249551;11142.95
GOIÁS;Marzagão;21822.20;2157;10116.92
PARÁ;Porto de Moz;76142.93;28091;2710.58
MATO GROSSO DO SUL;Costa Rica;414671.50;19228;21566.02
PIAUÍ;Alvorada do Gurguéia;27634.44;5209;5305.13
SÃO PAULO;Jardinópolis;487728.97;37471;13016.17
PARANÁ;Presidente Castelo Branco;39173.65;4934;7939.53
PARANÁ;Curitiba;45762420.00;1851215;24720.21
SÃO PAULO;Estrela d'Oeste;428017.00;9042;47336.54
MINAS GERAIS;São Joaquim de Bicas;308069.50;23986;12843.72
RIO GRANDE DO SUL;Coxilha;79944.41;2997;26674.81
MINAS GERAIS;Icaraí de Minas;44507.56;10934;4070.57
SÃO PAULO;Rubiácea;57313.18;2661;21538.21
SANTA CATARINA;Passos Maia;60104.18;4555;13195.21
RIO DE JANEIRO;Cambuci;168745.66;14770;11424.89
BAHIA;Salinas da Margarida;62426.80;14194;4398.11
ALAGOAS;Olivença;33409.53;10865;3074.97
RIO GRANDE DO SUL;Chapada;190121.70;9673;19654.88
TOCANTINS;Porto Alegre do Tocantins;15878.50;2968;5349.90
BAHIA;Capim Grosso;121918.31;27158;4489.22
MATO GROSSO;Vale de São Domingos;32239.97;2955;10910.31
SÃO PAULO;Valparaíso;327024.03;22514;14525.36
MINAS GERAIS;Santana do Jacaré;34777.21;4716;7374.30
SÃO PAULO;Agudos;753584625.00;36188;20824.16
PIAUÍ;Nossa Senhora dos Remédios;23638.20;8378;2821.46
BAHIA;Juazeiro;1745979625.00;243896;7158.71
